index,LOCATION,Country,Indicator,SUBJECT,OBS_VALUE,Year
11642,CHN,China (People's Republic of),FDI flows,OUTWARD,153720.8,2020
11744,IND,India,FDI restrictiveness,TRANSPORT,0.093,2020
11745,IND,India,FDI restrictiveness,FINANSERV,0.264,2020
11746,IND,India,FDI restrictiveness,BSNSSERV,0.563,2020
11765,IND,India,FDI flows,INWARD,2.4085738673291,2020
11888,IND,India,FDI restrictiveness,TELECOMMS,0.175,2016
11890,IND,India,FDI restrictiveness,ELECTRICITY,0.064,2016
11893,IND,India,FDI restrictiveness,TOT,0.217,2016
11910,IND,India,FDI flows,OUTWARD,0.22034933691879,2016
11926,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.134,2016
11929,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.345,2016
11930,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,0.985,2016
12069,IND,India,FDI restrictiveness,PRIMSECT,0.225,2016
12070,IND,India,FDI restrictiveness,DISTRIB,0.298,2016
12071,IND,India,FDI restrictiveness,MFG,0.035,2016
12090,CHN,China (People's Republic of),FDI flows,INWARD,1.5556368785398,2016
12190,IND,India,FDI restrictiveness,PRIMSECT,0.32,2014
12193,IND,India,FDI restrictiveness,DISTRIB,0.313,2014
12196,IND,India,FDI restrictiveness,MFG,0.048,2014
12214,CHN,China (People's Republic of),FDI flows,INWARD,2.5592476704516,2014
12233,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.625,2014
12234,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.525,2014
12235,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.584,2014
12270,IND,India,FDI flows,INWARD,34576.64914,2014
12271,CHN,China (People's Republic of),FDI flows,INWARD,268097.1811,2014
12358,IND,India,FDI restrictiveness,MEDIA,0.395,2014
12377,IND,India,FDI flows,OUTWARD,11686.48269,2014
12379,CHN,China (People's Republic of),FDI flows,OUTWARD,1.1753910418345,2014
